date,open,high,low,close,volume,adj close
2009-01-20,50.7,51.07,48.4,48.58,1095000,48.58
2009-01-16,49.14,50.85,49.04,50.69,1445300,50.69
2009-01-15,46.13,48.82,45.18,48.45,1918200,48.45
2009-01-14,47.5,47.62,45.43,45.82,2127500,45.82
2009-01-13,48.76,49.05,47.9,48.23,1291400,48.23
2009-01-12,50.77,51.07,48.55,48.75,1481700,48.75
2009-01-09,51.45,51.57,50.12,50.3,839600,50.3
2009-01-08,51.14,51.79,50.97,51.59,764500,51.59
2009-01-07,50.51,51.15,50.25,51.1,907600,51.1
2009-01-06,52.78,53.34,50.81,51.24,898600,51.24
2009-01-05,52.66,53.11,51.81,52.46,751200,52.46
2009-01-02,52.02,52.86,51.22,52.66,691600,52.66
2008-12-31,51.77,52.82,51.45,52.08,623100,52.08
2008-12-30,51.13,51.91,50.63,51.58,859600,51.58
2008-12-29,51.19,51.43,50.5,51.01,493900,51.01
2008-12-26,52.2,52.21,50.81,51.16,182800,51.16
2008-12-24,51.31,51.7,50.89,51.59,233900,51.59
2008-12-23,51.92,52.1,50.62,50.99,597800,50.99
2008-12-22,52.75,53.35,50.86,51.42,1210100,51.42
2008-12-19,54.91,55.31,52.54,52.87,1296600,52.87
2008-12-18,55.17,55.57,53.64,54.35,800600,54.35
2008-12-17,53.3,55.23,53.3,54.49,1116600,54.49
2008-12-16,53.0,54.83,51.59,54.79,1266500,54.79
2008-12-15,52.87,53.31,51.52,52.2,623500,52.2
2008-12-12,52.87,53.23,50.91,52.8,712600,52.8
2008-12-11,53.23,54.5,51.84,52.13,868800,52.13
2008-12-10,52.64,54.17,52.64,53.28,626200,53.28
2008-12-09,53.44,54.51,52.22,52.61,825900,52.61
2008-12-08,53.43,55.32,53.07,54.14,942200,54.14
2008-12-05,51.0,53.48,50.07,53.23,1205600,53.23
2008-12-04,52.33,53.64,50.77,51.22,1016000,51.22
2008-12-03,52.03,54.26,52.03,53.19,872800,53.19
2008-12-02,52.67,53.61,51.59,53.22,1473100,53.22
2008-12-01,56.14,57.15,51.17,51.17,1359500,51.17
2008-11-28,56.3,57.99,55.52,57.3,393100,57.3
2008-11-26,56.93,57.05,54.11,55.51,1476400,55.51
2008-11-25,57.61,58.7,55.61,57.3,4032000,57.3
2008-11-24,55.58,56.61,54.43,56.15,2438000,56.15
2008-11-21,55.18,56.67,52.85,55.19,2989600,55.19
2008-11-20,59.05,59.05,54.65,54.99,2803600,54.99
2008-11-19,61.13,61.85,59.22,59.24,2720600,59.24
2008-11-18,60.5,61.87,60.36,61.13,17403000,61.13
2008-11-17,57.45,59.95,57.34,58.87,1475100,58.87
2008-11-14,57.63,60.0,56.96,58.01,1331800,58.01
2008-11-13,55.0,58.75,52.74,58.72,1400200,58.72
2008-11-12,55.78,56.96,54.81,54.99,968700,54.99
2008-11-11,55.48,57.56,55.23,56.61,677200,56.61
2008-11-10,57.17,57.69,55.07,56.06,947600,56.06
2008-11-07,54.95,55.95,54.11,55.95,809500,55.95
2008-11-06,55.84,56.71,54.53,54.6,872100,54.6
2008-11-05,57.82,58.31,56.13,56.2,583400,56.2
2008-11-04,58.54,59.41,56.61,57.95,876200,57.95
2008-11-03,58.5,58.97,57.17,57.91,754400,57.91
2008-10-31,56.41,58.9,55.46,58.43,957900,58.43
2008-10-30,54.96,57.06,53.53,56.82,879400,56.82
2008-10-29,52.07,54.97,51.15,53.28,1091300,53.28
2008-10-28,51.34,52.28,48.52,52.08,1253500,52.08
2008-10-27,49.46,52.22,49.0,49.38,714200,49.38
2008-10-24,47.45,51.34,46.45,50.4,1199900,50.4
2008-10-23,51.32,54.91,50.52,51.98,1088900,51.98
2008-10-22,52.94,53.7,51.01,52.1,620300,52.1
2008-10-21,55.15,56.13,53.35,53.38,778800,53.38
2008-10-20,56.0,57.94,55.08,56.44,914500,56.44
2008-10-17,52.99,58.03,52.28,55.27,1270900,55.27
2008-10-16,49.9,54.66,49.32,54.52,1057800,54.52
2008-10-15,54.09,55.47,50.48,50.71,925500,50.71
2008-10-14,54.98,55.59,53.09,54.26,941700,54.26
2008-10-13,50.71,54.99,50.17,54.41,1151300,54.41
2008-10-10,47.73,51.22,47.51,49.22,2163300,49.22
2008-10-09,51.7,53.14,48.83,48.83,889800,48.83
2008-10-08,51.06,53.43,50.76,51.49,1002300,51.49
2008-10-07,54.41,54.89,52.65,52.95,906100,52.95
2008-10-06,55.25,55.77,51.72,54.42,886500,54.42
2008-10-03,57.82,59.43,56.5,56.52,515900,56.52
2008-10-02,57.98,58.25,57.26,57.42,533100,57.42
2008-10-01,58.5,59.19,57.5,58.07,622000,58.07
2008-09-30,61.44,61.99,56.67,58.91,1419300,58.91
2008-09-29,62.36,63.96,59.47,59.61,908800,59.61
2008-09-26,61.99,63.74,61.2,63.24,532500,63.24
2008-09-25,62.46,62.59,61.31,62.34,536500,62.34
2008-09-24,63.29,63.74,61.71,62.2,604100,62.2
2008-09-23,63.22,63.65,62.53,62.89,522200,62.89
2008-09-22,63.42,63.97,62.85,63.01,462500,63.01
2008-09-19,65.7,66.0,62.57,63.86,1617800,63.86
2008-09-18,61.77,66.15,61.06,64.77,1568300,64.77
2008-09-17,61.79,62.52,61.04,61.04,856900,61.04
2008-09-16,60.54,62.53,60.39,62.53,960300,62.53
2008-09-15,58.2,62.0,58.2,59.92,638100,59.92
2008-09-12,58.2,60.23,58.2,60.15,464800,60.15
2008-09-11,57.15,58.92,56.04,58.85,512600,58.85
2008-09-10,56.27,58.0,56.0,57.44,534500,57.44
2008-09-09,57.54,57.79,56.08,56.08,426400,56.08
2008-09-08,57.84,58.69,56.49,57.32,404400,57.32
2008-09-05,56.75,57.79,55.95,57.37,518100,57.37
2008-09-04,58.33,58.9,56.85,56.85,479800,56.85
2008-09-03,58.26,59.0,58.0,58.63,405300,58.63
2008-09-02,59.36,60.38,58.44,58.93,540800,58.93
2008-08-29,60.44,60.61,59.16,59.3,361700,59.3
2008-08-28,60.32,61.25,60.04,60.81,356900,60.81
2008-08-27,59.39,60.75,59.21,60.21,367200,60.21
2008-08-26,59.26,59.76,58.78,59.16,464400,59.16
2008-08-25,60.63,60.83,58.88,59.42,394400,59.42
2008-08-22,59.97,61.2,59.58,61.12,346300,61.12
2008-08-21,60.01,60.55,59.25,59.88,436500,59.88
2008-08-20,60.12,61.17,59.12,60.53,561200,60.53
2008-08-19,60.53,61.1,59.42,60.0,513800,60.0
2008-08-18,60.77,60.77,59.67,60.28,548300,60.28
2008-08-15,60.46,61.18,59.59,60.77,599800,60.77
2008-08-14,59.12,60.5,58.96,60.23,433800,60.23
2008-08-13,58.28,59.97,58.26,59.53,685000,59.53
2008-08-12,58.97,59.67,58.37,59.21,444300,59.21
2008-08-11,59.35,59.35,58.34,59.3,410400,59.3
2008-08-08,58.4,59.39,58.15,59.05,355500,59.05
2008-08-07,58.99,59.84,58.01,58.26,513300,58.26
2008-08-06,59.37,59.55,58.63,59.33,690000,59.33
2008-08-05,59.92,60.05,58.61,59.4,759600,59.4
2008-08-04,60.04,60.1,58.87,59.31,588500,59.31
2008-08-01,60.0,60.65,58.53,59.33,499500,59.33
2008-07-31,60.01,60.5,59.43,59.75,743500,59.75
2008-07-30,60.57,60.98,59.65,60.28,573100,60.28
2008-07-29,60.08,61.57,59.74,60.69,766700,60.69
2008-07-28,61.46,61.47,59.99,60.35,631000,60.35
2008-07-25,60.95,61.8,59.16,60.94,1142200,60.94
2008-07-24,60.01,60.16,58.21,58.85,1145000,58.85
2008-07-23,59.99,60.87,59.0,59.7,795600,59.7
2008-07-22,57.78,60.58,57.73,60.15,1015200,60.15
2008-07-21,57.86,58.41,57.09,57.78,548300,57.78
2008-07-18,56.65,57.68,56.11,57.57,878700,57.57
2008-07-17,56.0,56.48,55.0,56.48,770700,56.48
2008-07-16,54.59,56.0,53.29,55.71,1285700,55.71
2008-07-15,54.32,55.86,54.24,54.71,1215200,54.71
2008-07-14,54.32,54.58,52.2,54.24,762600,54.24
2008-07-11,51.51,54.43,51.51,53.65,1127900,53.65
2008-07-10,50.8,52.67,50.8,52.61,817500,52.61
2008-07-09,51.34,51.34,50.13,50.42,551300,50.42
2008-07-08,49.96,51.07,49.66,51.03,587800,51.03
2008-07-07,50.23,50.67,49.25,49.72,795800,49.72
2008-07-03,49.91,50.45,49.72,50.03,436500,50.03
2008-07-02,51.07,51.71,49.3,50.02,960000,50.02
2008-07-01,50.99,51.59,50.35,51.17,992200,51.17
2008-06-30,50.51,51.9,50.46,51.7,722100,51.7
2008-06-27,51.5,51.85,50.81,50.82,995600,50.82
2008-06-26,50.76,51.6,50.31,51.4,1313500,51.4
2008-06-25,51.5,52.15,51.0,51.04,1599300,51.04
2008-06-24,53.46,53.58,51.59,51.59,1242300,51.59
2008-06-23,53.32,54.36,53.24,53.75,909900,53.75
2008-06-20,53.5,54.48,53.07,53.7,1302700,53.7
2008-06-19,54.21,54.52,53.05,54.21,925500,54.21
2008-06-18,55.78,55.92,54.2,54.59,855300,54.59
2008-06-17,56.43,56.88,55.42,56.38,347300,56.38
2008-06-16,56.41,56.88,55.92,56.58,482300,56.58
2008-06-13,55.8,56.75,55.54,56.71,529200,56.71
2008-06-12,55.83,57.06,55.21,55.26,749700,55.26
2008-06-11,57.13,57.77,55.48,55.49,587400,55.49
2008-06-10,57.33,58.11,56.62,56.86,392100,56.86
2008-06-09,57.25,57.84,56.8,57.82,494800,57.82
2008-06-06,58.3,58.72,57.06,57.06,416900,57.06
2008-06-05,57.93,59.2,57.26,58.91,589000,58.91
2008-06-04,56.81,58.59,56.66,57.89,596900,57.89
2008-06-03,58.0,58.0,56.44,56.89,518200,56.89
2008-06-02,59.03,59.4,57.0,57.66,594100,57.66
2008-05-30,58.62,58.79,57.82,58.3,496900,58.3
2008-05-29,58.85,59.59,57.8,58.82,422300,58.82
2008-05-28,58.23,58.92,57.5,58.66,596700,58.66
2008-05-27,57.12,59.06,56.87,58.7,729000,58.7
2008-05-23,57.94,58.04,56.81,57.47,576100,57.47
2008-05-22,57.89,58.92,57.3,58.37,678900,58.37
2008-05-21,56.8,58.19,56.35,57.76,1185400,57.76
2008-05-20,55.83,57.48,55.83,56.61,441100,56.61
2008-05-19,56.76,57.5,56.2,56.62,805900,56.62
2008-05-16,54.8,56.81,54.19,56.68,1936500,56.68
2008-05-15,52.52,52.85,52.03,52.68,632100,52.68
2008-05-14,52.2,52.97,51.81,52.42,632100,52.42
2008-05-13,52.49,52.7,51.8,52.16,741000,52.16
2008-05-12,51.8,52.88,51.57,52.6,418900,52.6
2008-05-09,51.28,52.08,51.28,51.81,401800,51.81
2008-05-08,51.99,53.14,51.8,52.33,825800,52.33
2008-05-07,52.83,52.92,51.51,51.63,439100,51.63
2008-05-06,52.6,53.2,52.42,52.96,408700,52.96
2008-05-05,53.04,53.25,52.14,52.58,722900,52.58
2008-05-02,54.6,54.66,53.26,53.47,396900,53.47
2008-05-01,53.53,54.12,53.01,54.12,555900,54.12
2008-04-30,53.75,54.25,53.02,53.38,696300,53.38
2008-04-29,53.84,54.55,53.31,53.43,541900,53.43
2008-04-28,55.54,55.56,54.05,54.09,661800,54.09
2008-04-25,55.89,56.58,54.98,55.67,674600,55.67
2008-04-24,56.71,57.15,55.34,56.0,1093600,56.0
2008-04-23,54.66,55.17,54.04,54.81,554500,54.81
2008-04-22,55.64,55.64,54.07,54.15,461300,54.15
2008-04-21,56.0,56.54,55.03,55.53,558100,55.53
2008-04-18,54.97,56.88,53.6,56.55,906800,56.55
2008-04-17,53.73,54.14,53.06,53.53,836300,53.53
2008-04-16,53.0,53.86,52.82,53.72,750500,53.72
2008-04-15,53.5,54.37,52.52,53.0,616400,53.0
2008-04-14,53.72,54.18,53.58,53.81,412800,53.81
2008-04-11,53.75,54.13,53.3,53.83,596500,53.83
2008-04-10,53.75,54.27,53.32,54.26,481800,54.26
2008-04-09,53.2,53.87,52.74,53.86,570800,53.86
2008-04-08,52.39,53.96,52.01,53.2,376300,53.2
2008-04-07,53.37,53.39,52.51,52.79,524900,52.79
2008-04-04,53.13,54.2,52.87,53.99,627600,53.99
2008-04-03,52.0,53.02,51.84,52.84,864100,52.84
2008-04-02,51.6,52.2,51.21,52.11,1001400,52.11
2008-04-01,52.19,52.19,51.29,51.51,703300,51.51
2008-03-31,52.0,52.01,51.26,51.5,884000,51.5
2008-03-28,51.15,52.34,50.56,51.48,975000,51.48
2008-03-27,51.17,51.69,50.48,50.53,554900,50.53
2008-03-26,50.24,51.43,50.01,51.38,858400,51.38
2008-03-25,50.4,51.19,50.39,50.57,654100,50.57
2008-03-24,50.49,51.36,49.89,50.38,860500,50.38
2008-03-20,51.24,51.5,50.32,50.99,951900,50.99
2008-03-19,51.58,53.32,51.18,51.18,896300,51.18
2008-03-18,51.0,51.63,50.65,51.54,1065200,51.54
2008-03-17,50.75,51.56,50.2,50.89,1159000,50.89
2008-03-14,53.38,53.39,51.0,51.42,1358000,51.42
2008-03-13,53.19,53.94,52.37,53.4,741100,53.4
2008-03-12,54.41,54.99,53.78,53.99,795400,53.99
2008-03-11,53.71,53.84,52.9,53.77,962000,53.77
2008-03-10,53.31,53.85,52.6,52.65,661200,52.65
2008-03-07,53.89,54.54,53.54,54.0,460100,54.0
2008-03-06,55.72,55.94,54.02,54.09,530400,54.09
2008-03-05,55.39,56.76,54.51,55.94,495100,55.94
2008-03-04,54.55,55.5,54.19,54.92,723900,54.92
2008-03-03,53.75,55.16,53.62,54.62,554200,54.62
2008-02-29,55.24,55.24,53.69,53.89,666100,53.89
2008-02-28,55.92,56.64,54.9,55.88,444500,55.88
2008-02-27,56.14,57.08,55.87,56.59,672800,56.59
2008-02-26,55.38,57.15,55.01,56.48,751100,56.48
2008-02-25,54.51,55.81,54.51,55.45,500900,55.45
2008-02-22,54.44,54.9,53.83,54.42,482500,54.42
2008-02-21,55.0,55.0,53.6,54.07,786100,54.07
2008-02-20,53.32,54.65,53.11,54.65,1017000,54.65
2008-02-19,53.48,54.07,53.15,54.03,1063900,54.03
2008-02-15,53.97,54.47,52.32,53.15,990600,53.15
2008-02-14,56.09,56.09,54.25,54.32,757800,54.32
2008-02-13,55.64,56.6,55.25,55.87,381200,55.87
2008-02-12,53.3,55.8,53.3,55.17,424900,55.17
2008-02-11,55.81,55.81,53.6,54.56,909200,54.56
2008-02-08,55.64,56.34,54.77,55.84,553900,55.84
2008-02-07,56.12,56.68,55.0,56.15,953900,56.15
2008-02-06,55.69,56.99,54.75,54.89,812000,54.89
2008-02-05,58.13,58.71,56.28,56.28,530600,56.28
2008-02-04,59.51,59.65,58.24,58.74,482800,58.74
2008-02-01,59.68,60.3,57.89,58.9,543900,58.9
2008-01-31,57.12,59.73,56.82,59.26,711900,59.26
2008-01-30,57.33,59.0,56.77,57.71,432400,57.71
2008-01-29,57.31,58.07,56.12,57.45,516000,57.45
2008-01-28,55.79,56.88,55.68,56.79,501700,56.79
2008-01-25,56.82,57.17,55.7,55.99,620100,55.99
2008-01-24,54.85,56.28,54.61,56.15,608700,56.15
2008-01-23,55.0,56.15,53.21,55.47,1519900,55.47
2008-01-22,58.05,59.29,55.98,56.15,934200,56.15
2008-01-18,58.29,60.79,58.29,60.35,1345600,60.35
2008-01-17,62.07,62.5,58.27,58.43,932000,58.43
2008-01-16,60.22,62.65,59.8,62.13,1106900,62.13
2008-01-15,58.24,60.07,58.05,59.77,943100,59.77
2008-01-14,58.6,59.2,58.16,58.94,701300,58.94
2008-01-11,56.91,58.26,56.6,58.13,665000,58.13
2008-01-10,55.89,57.58,55.89,57.17,555700,57.17
2008-01-09,57.49,58.19,55.49,56.44,715000,56.44
2008-01-08,58.14,58.68,57.25,57.58,870500,57.58
2008-01-07,57.25,58.96,56.18,58.06,731400,58.06
2008-01-04,58.83,59.02,57.07,57.33,443700,57.33
2008-01-03,57.75,59.11,57.57,59.05,500300,59.05
2008-01-02,59.49,59.72,57.25,57.84,714300,57.84
2007-12-31,60.01,60.79,59.06,59.4,565100,59.4
2007-12-28,61.09,61.09,59.4,60.0,734800,60.0
2007-12-27,62.54,62.56,60.65,60.66,413000,60.66
2007-12-26,61.7,61.98,61.09,61.87,288100,61.87
2007-12-24,62.0,62.16,61.34,61.6,259400,61.6
2007-12-21,61.68,62.5,61.29,61.32,2664500,61.32
2007-12-20,58.55,60.05,58.35,60.05,757500,60.05
2007-12-19,56.85,58.19,56.85,58.08,471100,58.08
2007-12-18,57.4,58.27,56.54,57.09,420800,57.09
2007-12-17,58.86,59.22,57.35,57.67,436000,57.67
2007-12-14,58.99,59.74,58.33,59.26,264700,59.26
2007-12-13,57.95,59.58,57.72,59.22,651000,59.22
2007-12-12,59.72,59.99,57.99,58.26,474800,58.26
2007-12-11,59.96,60.59,58.69,59.24,367700,59.24
2007-12-10,59.27,60.12,59.2,59.7,333600,59.7
2007-12-07,59.97,60.32,58.98,59.23,339200,59.23
2007-12-06,59.98,60.2,58.82,59.72,439400,59.72
2007-12-05,60.0,60.03,58.93,59.77,455900,59.77
2007-12-04,58.3,59.88,57.32,59.71,683800,59.71
2007-12-03,59.0,60.22,58.55,58.92,534700,58.92
2007-11-30,59.29,59.56,58.7,58.85,1591400,58.85
2007-11-29,58.45,59.31,57.86,58.82,451700,58.82
2007-11-28,56.5,58.83,55.99,58.78,631200,58.78
2007-11-27,55.43,56.79,55.21,56.1,616200,56.1
2007-11-26,55.28,56.37,55.2,55.29,320500,55.29
2007-11-23,56.0,56.36,54.97,55.19,149200,55.19
2007-11-21,55.7,56.75,55.12,55.7,383100,55.7
2007-11-20,56.13,56.93,55.18,55.97,453700,55.97
2007-11-19,56.72,58.04,56.3,56.3,338200,56.3
2007-11-16,57.27,58.0,56.48,57.65,285800,57.65
2007-11-15,57.36,57.7,56.51,56.98,307500,56.98
2007-11-14,57.62,59.22,57.32,57.55,532200,57.55
2007-11-13,56.8,58.18,54.56,57.72,799700,57.72
2007-11-12,57.53,58.53,56.95,56.95,359000,56.95
2007-11-09,59.01,59.76,57.72,57.8,298600,57.8
2007-11-08,59.3,60.65,58.39,59.53,420900,59.53
2007-11-07,60.72,60.72,58.89,59.03,343300,59.03
2007-11-06,59.83,61.24,59.53,61.03,521800,61.03
2007-11-05,56.72,59.78,56.63,59.02,852500,59.02
2007-11-02,58.07,58.07,56.87,57.12,306500,57.12
2007-11-01,57.81,59.34,57.75,57.93,658200,57.93
2007-10-31,57.11,58.34,56.72,58.33,518900,58.33
2007-10-30,56.78,57.26,56.49,56.9,749400,56.9
2007-10-29,57.63,57.86,56.35,56.83,578800,56.83
2007-10-26,56.23,58.1,55.38,57.51,873500,57.51
2007-10-25,54.37,55.68,54.17,55.37,637200,55.37
2007-10-24,53.35,54.36,53.31,54.36,509500,54.36
2007-10-23,53.38,54.05,52.75,53.79,586600,53.79
2007-10-22,53.89,54.37,52.82,52.95,1102900,52.95
2007-10-19,53.12,53.83,52.01,52.04,622000,52.04
2007-10-18,53.22,54.03,52.65,52.89,705900,52.89
2007-10-17,54.12,54.55,53.12,53.47,725400,53.47
2007-10-16,54.44,55.5,53.75,53.92,665700,53.92
2007-10-15,55.44,55.88,53.8,54.19,618800,54.19
2007-10-12,55.57,55.93,55.21,55.44,349200,55.44
2007-10-11,56.07,56.5,55.19,55.58,563800,55.58
2007-10-10,55.83,56.99,55.25,55.84,438800,55.84
2007-10-09,56.0,56.39,55.81,56.1,606700,56.1
2007-10-08,56.1,56.48,55.65,55.93,468300,55.93
2007-10-05,56.62,56.91,55.69,55.88,409500,55.88
2007-10-04,56.38,56.94,55.88,56.11,358100,56.11
2007-10-03,56.27,57.12,56.06,56.13,498500,56.13
2007-10-02,58.37,58.68,56.95,57.24,1303000,57.24
2007-10-01,57.81,58.65,57.39,58.17,428500,58.17
2007-09-28,56.02,57.43,56.02,57.16,404500,57.16
2007-09-27,56.23,56.31,54.48,55.76,631200,55.76
2007-09-26,55.06,56.37,54.75,55.92,383400,55.92
2007-09-25,55.1,55.39,54.44,54.68,331300,54.68
2007-09-24,54.0,55.67,53.99,55.24,579700,55.24
2007-09-21,53.37,53.37,52.91,53.1,474300,53.1
2007-09-20,54.01,54.44,52.88,52.9,319400,52.9
2007-09-19,51.61,54.62,51.61,54.03,682000,54.03
2007-09-18,50.43,51.28,50.06,51.18,329100,51.18
2007-09-17,50.48,50.61,50.07,50.19,231900,50.19
2007-09-14,51.06,51.19,50.22,50.52,322100,50.52
2007-09-13,51.82,52.25,51.29,51.29,310700,51.29
2007-09-12,50.41,51.99,50.41,51.43,358200,51.43
2007-09-11,49.85,50.97,49.6,50.65,356300,50.65
2007-09-10,49.4,50.28,49.06,49.54,384300,49.54
2007-09-07,49.0,49.92,49.0,49.38,367300,49.38
2007-09-06,49.23,49.79,48.81,49.61,385900,49.61
2007-09-05,49.32,49.64,48.89,48.91,633800,48.91
2007-09-04,49.85,49.95,49.11,49.56,322100,49.56
2007-08-31,50.21,50.51,49.25,49.9,193700,49.9
2007-08-30,49.2,50.01,48.76,49.74,279600,49.74
2007-08-29,48.4,49.61,48.29,49.51,273200,49.51
2007-08-28,48.75,48.95,47.91,48.3,503300,48.3
2007-08-27,50.98,50.98,49.01,49.34,402100,49.34
2007-08-24,49.17,49.89,48.61,49.89,359600,49.89
2007-08-23,49.7,50.33,48.68,49.18,519200,49.18
2007-08-22,49.09,49.28,48.3,49.21,343600,49.21
2007-08-21,49.24,49.82,48.51,48.77,389800,48.77
2007-08-20,48.92,49.93,48.23,49.55,349600,49.55
2007-08-17,49.76,49.87,48.08,48.7,501300,48.7
2007-08-16,46.98,49.07,45.79,48.95,805600,48.95
2007-08-15,48.15,49.28,47.26,47.41,548400,47.41
2007-08-14,49.82,50.04,48.09,48.39,489100,48.39
2007-08-13,49.51,50.26,48.17,49.51,728800,49.51
2007-08-10,51.58,52.5,48.89,49.04,1046400,49.04
2007-08-09,50.83,55.21,50.54,52.14,1539000,52.14
2007-08-08,53.85,56.88,50.45,52.08,1793000,52.08
2007-08-07,50.88,55.25,50.44,53.85,1381200,53.85
2007-08-06,47.88,51.34,47.76,51.21,1202700,51.21
2007-08-03,48.05,48.78,47.37,47.7,900100,47.7
2007-08-02,47.45,48.44,46.75,47.72,979600,47.72
2007-08-01,47.77,48.61,46.63,47.32,909000,47.32
2007-07-31,49.23,49.92,47.94,47.94,1039800,47.94
2007-07-30,50.96,51.58,48.45,48.9,1489600,48.9
2007-07-27,45.21,51.64,45.18,51.46,1870100,51.46
2007-07-26,44.49,45.99,43.76,45.21,950300,45.21
2007-07-25,43.5,44.76,43.32,44.37,795900,44.37
2007-07-24,43.69,43.9,43.04,43.27,447400,43.27
2007-07-23,43.61,43.96,43.43,43.58,394200,43.58
2007-07-20,43.65,43.77,43.27,43.34,380400,43.34
2007-07-19,44.25,44.59,43.64,43.72,287300,43.72
2007-07-18,43.58,44.26,43.48,44.09,545200,44.09
2007-07-17,43.96,44.54,43.58,43.63,527400,43.63
2007-07-16,44.26,44.76,44.01,44.06,351700,44.06
2007-07-13,44.48,44.95,44.3,44.44,397100,44.44
2007-07-12,44.75,44.87,44.2,44.44,289000,44.44
2007-07-11,43.65,44.45,43.44,44.45,338100,44.45
2007-07-10,43.96,44.0,43.43,43.56,337000,43.56
2007-07-09,44.57,44.68,43.62,43.91,502900,43.91
2007-07-06,44.94,45.14,44.3,44.39,436900,44.39
2007-07-05,45.39,45.48,44.8,44.93,317400,44.93
2007-07-03,44.51,45.37,44.33,45.25,193700,45.25
2007-07-02,44.67,45.0,44.39,44.65,264500,44.65
2007-06-29,45.35,45.39,44.14,44.46,499900,44.46
2007-06-28,44.43,45.68,43.78,45.1,487500,45.1
2007-06-27,43.55,44.28,43.3,44.24,409300,44.24
2007-06-26,43.94,44.35,43.64,43.81,379300,43.81
2007-06-25,44.34,44.83,43.69,43.82,331700,43.82
2007-06-22,44.62,45.13,44.27,44.28,514200,44.28
2007-06-21,44.9,45.28,44.6,44.82,303800,44.82
2007-06-20,44.67,45.36,44.43,45.1,471600,45.1
2007-06-19,44.69,44.85,44.3,44.49,367200,44.49
2007-06-18,43.37,44.89,43.17,44.76,548300,44.76
2007-06-15,43.55,43.76,43.04,43.11,606800,43.11
2007-06-14,43.8,44.21,43.3,43.35,315600,43.35
2007-06-13,43.26,43.9,43.09,43.83,471000,43.83
2007-06-12,42.86,43.63,42.86,43.08,407600,43.08
2007-06-11,43.3,43.86,43.1,43.75,290000,43.75
2007-06-08,43.06,43.55,40.57,43.47,833700,43.47
2007-06-07,44.27,44.52,43.52,43.56,441400,43.56
2007-06-06,44.76,44.85,44.14,44.33,312400,44.33
2007-06-05,44.69,45.21,44.5,44.85,471500,44.85
2007-06-04,45.22,45.25,44.48,44.9,710400,44.9
2007-06-01,45.34,45.73,44.92,45.25,426700,45.25
2007-05-31,89.97,91.23,89.7,91.17,671400,45.58
2007-05-30,88.93,90.17,88.43,90.17,422400,45.08
2007-05-29,88.47,89.37,88.44,89.07,408000,44.53
2007-05-25,88.08,89.19,87.7,88.36,426000,44.18
2007-05-24,89.5,90.14,87.87,87.94,534200,43.97
2007-05-23,89.15,90.05,89.14,89.7,506400,44.85
2007-05-22,89.19,89.95,88.81,89.29,595600,44.65
2007-05-21,88.0,89.43,88.0,89.4,485800,44.7
2007-05-18,88.64,88.64,87.29,88.02,1151800,44.01
2007-05-17,87.55,90.3,87.02,88.52,1700000,44.26
2007-05-16,86.83,86.97,86.45,86.66,449200,43.33
2007-05-15,86.4,86.6,85.28,86.51,686200,43.26
2007-05-14,86.81,86.94,85.82,86.22,457800,43.11
2007-05-11,85.86,87.04,85.62,86.8,404000,43.4
2007-05-10,87.17,87.48,86.72,86.87,561800,43.44
2007-05-09,86.17,87.62,86.01,87.38,666000,43.69
2007-05-08,86.15,86.58,85.01,86.52,478600,43.26
2007-05-07,86.86,87.54,85.67,86.44,544600,43.22
2007-05-04,86.65,86.91,85.89,86.78,551800,43.39
2007-05-03,85.79,87.39,85.79,86.83,787800,43.42
2007-05-02,85.46,86.37,85.05,86.1,754800,43.05
2007-05-01,87.5,87.52,85.41,85.75,560400,42.88
2007-04-30,86.46,87.55,86.06,87.14,1265000,43.57
2007-04-27,83.0,87.14,83.0,86.46,897600,43.23
2007-04-26,85.19,85.84,84.76,85.15,461600,42.58
2007-04-25,84.9,85.84,84.78,85.33,319800,42.67
2007-04-24,85.37,85.69,84.85,84.95,298400,42.47
2007-04-23,84.77,85.16,84.61,85.05,171400,42.53
2007-04-20,85.33,85.45,84.42,84.94,235200,42.47
2007-04-19,85.31,85.45,84.36,84.79,304800,42.4
2007-04-18,85.65,85.91,85.19,85.37,379200,42.69
2007-04-17,84.9,85.94,84.84,85.81,550200,42.9
2007-04-16,83.52,84.94,83.52,84.65,348400,42.33
2007-04-13,83.08,83.89,82.64,83.75,289600,41.88
2007-04-12,81.63,83.08,81.18,83.08,265400,41.54
2007-04-11,81.95,82.48,81.25,81.89,354000,40.94
2007-04-10,82.0,82.58,81.8,82.26,409400,41.13
2007-04-09,81.79,82.02,81.54,81.92,186000,40.96
2007-04-05,81.91,82.07,81.18,81.92,276000,40.96
2007-04-04,82.32,82.32,81.82,82.0,266200,41.0
2007-04-03,81.7,82.59,81.68,82.18,353200,41.09
2007-04-02,81.64,82.05,80.79,81.55,281600,40.78
2007-03-30,80.78,81.59,80.66,81.5,340600,40.75
2007-03-29,81.21,81.49,80.24,80.95,290400,40.47
2007-03-28,81.48,81.48,80.48,81.0,330600,40.5
2007-03-27,82.28,82.28,81.44,81.56,249400,40.78
2007-03-26,82.07,82.53,81.56,82.23,406600,41.12
2007-03-23,81.61,82.98,81.42,82.13,508800,41.06
2007-03-22,81.17,82.7,80.86,81.53,386400,40.76
2007-03-21,79.6,81.17,79.11,81.11,383800,40.56
